"","X","Y","pa","grass.perc","dev.perc","wet.perc","wood.perc","ag.perc","precip","tmax","tmin","tmean"
"187",-96.948197715586,37.7855885358253,0,0.819865441655212,0.0593214208203718,0.00911524271142299,0.0338566157852854,0.0772625334587282,807.037914885465,20.4682482063272,6.49890387906537,13.4835260918807
"188",-100.046847135519,39.5042071552025,0,0.0847062150887365,0.0313229159301421,0.00120200806052464,7.07063565014495e-05,0.717528105776709,367.015338199117,19.8835202743537,3.16203512602734,11.5227085272192
"189",-99.9268813972365,38.0259838371936,0,0.794836662580226,0.0274753010744934,0.0036056825557078,0.00165861397562559,0.0987957020263936,322.824933411036,21.1668447941476,4.09770743985188,12.6322384860273
"190",-96.1757265140411,39.2832925881834,0,0.679146280933135,0.0351698220236829,0.00432532085371907,0.130681415301709,0.150251719492307,853.338577656069,18.7124094897087,5.12108633201684,11.9167143240026
"191",-95.2054132326056,38.9561947092774,0,0.146426537585421,0.466543280182232,0.0612898633257403,0.0735335990888383,0.250213553530752,946.179630783051,18.8904302532937,6.1198238048221,12.5050595826427
"192",-98.9442402599086,39.4516545867688,0,0.548539913738245,0.0567772042706639,0.00537368309411016,0.0704942374319451,0.301986848617691,493.450946026029,20.3186853663992,3.23876275444593,11.7787190230402
"193",-101.577926597826,39.4549281567541,0,0.00063608735599689,0.0335712771220581,0,7.06763728885434e-05,0.710226871156972,313.424265687542,19.4233920375672,1.96893521959742,10.6961404172292
"194",-96.4817733844717,39.0836536979149,0,0.666429789653212,0.0329022171688459,0.00419272313814667,0.222640704945992,0.0729818078453667,902.825722851149,18.4793855081074,5.42732518076174,11.9533372235052
"195",-98.1045566750933,39.4544590884165,0,0.0783634821933296,0.459511023176936,0.0163227812323347,0.054903900508762,0.387931034482759,526.786403797032,19.6642272054385,4.68652356294433,12.1753754703471
"196",-99.8111755787197,38.3544685868749,0,0.301701241834757,0.0366090015074295,0.00122030005024765,0,0.424090158639007,302.302297968026,20.8064971488698,3.40131249734978,12.1038603385069
"197",-95.7582275689098,37.8523582641623,0,0.823202023852548,0.0338272497289483,0.038814600650524,0.0508854354897,0.0521142031080593,761.692790476057,19.6816672222052,6.97701728093635,13.3293140889452
"198",-99.2758313312608,37.1006516503393,0,0.826331555490612,0.0225031051362607,0.00277635712720099,0.000949806385621393,0.111565719295682,392.903610543165,22.6566066417061,6.13604493971533,14.3962818602819
"199",-98.5583836948285,39.1834367409334,0,0.426028368794326,0.0370212765957447,0.00574468085106383,0.0219148936170213,0.452836879432624,615.801916359246,20.2051538787486,3.9073711742443,12.0562130733632
"200",-94.6991289359694,37.5324586082944,0,0.428737469126834,0.305608019758826,0.00733691704198751,0.0270231003922708,0.229623710591312,866.195207782574,20.2145731784523,7.41273305278207,13.8135752746713
"201",-97.9643684111196,39.602006979534,0,0.277860117157174,0.0305596725245254,0.00423459665466864,0.0047992095419578,0.680217375961606,499.192194059915,19.2221247384424,4.62287351243586,11.9224750606004
